model,task,method,format,params_m,size_mb,compression_ratio,gflops,auc_mean,auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,latency_median_ms,latency_p95_ms
EfficientNetB0,isic,baseline,FP32,4.05,16.2,1.0,0.39,0.912,0.004,0.741,0.018,0.967,0.005,0.623,0.021,48.3,53.1
EfficientNetB0,isic,qat,INT8,4.05,4.3,3.8,0.39,0.897,0.005,0.718,0.022,0.962,0.006,0.598,0.024,14.1,16.2
EfficientNetB0,isic,qat,FP16,4.05,8.1,2.0,0.39,0.910,0.004,0.736,0.019,0.966,0.005,0.618,0.022,26.4,29.8
MobileNetV3-Small,isic,scratch,FP32,2.54,10.2,1.6,0.06,0.871,0.007,0.684,0.025,0.953,0.007,0.561,0.028,22.7,25.3
MobileNetV3-Small,isic,kd,FP32,2.54,10.2,1.6,0.06,0.896,0.005,0.722,0.020,0.963,0.006,0.601,0.023,22.7,25.3
MobileNetV3-Small,isic,kd+qat,INT8,2.54,2.7,6.0,0.06,0.883,0.006,0.702,0.023,0.958,0.006,0.582,0.026,8.3,9.7
UNet-Full,brats,baseline,FP32,31.03,124.1,1.0,15.82,0.871,0.008,0.852,0.012,0.997,0.001,0.863,0.010,312.5,341.2
UNet-Full,brats,qat,INT8,31.03,31.4,3.9,15.82,0.849,0.010,0.831,0.015,0.996,0.001,0.841,0.013,89.2,97.4
UNet-Full,brats,qat,FP16,31.03,62.1,2.0,15.82,0.868,0.009,0.849,0.013,0.997,0.001,0.860,0.011,162.1,178.3
UNet-Lite,brats,scratch,FP32,3.89,15.6,7.9,1.98,0.793,0.012,0.774,0.018,0.994,0.002,0.789,0.016,41.8,46.5
UNet-Lite,brats,kd,FP32,3.89,15.6,7.9,1.98,0.821,0.009,0.804,0.014,0.995,0.001,0.814,0.012,41.8,46.5
UNet-Lite,brats,kd+qat,INT8,3.89,4.1,30.3,1.98,0.804,0.011,0.786,0.016,0.995,0.002,0.797,0.014,12.6,14.8
